City,State,Confirmed,Deaths,Recovered,Active
Abbeville,South Carolina,10,0,0,10
Acadia,Louisiana,110,6,0,104
Accomack,Virginia,28,0,0,28
Ada,Idaho,576,9,0,567
Adair,Iowa,1,0,0,1
Adair,Kentucky,45,3,0,42
Adair,Missouri,12,0,0,12
Adair,Oklahoma,29,3,0,26
Adams,Colorado,805,29,0,776
Adams,Idaho,1,0,0,1
Adams,Illinois,30,0,0,30
Adams,Indiana,6,1,0,5
Adams,Mississippi,73,5,0,68
Adams,Nebraska,64,0,0,64
Adams,Ohio,3,0,0,3
Adams,Pennsylvania,70,1,0,69
Adams,Washington,40,0,0,40
Adams,Wisconsin,4,1,0,3
Addison,Vermont,57,1,0,56
Aiken,South Carolina,66,3,0,63
Aitkin,Minnesota,1,0,0,1
Alachua,Florida,202,0,0,202
Alamance,North Carolina,47,0,0,47
Alameda,California,1063,40,0,1023
Alamosa,Colorado,7,2,0,5
Albany,New York,619,20,0,599
Albany,Wyoming,6,0,0,6
Albemarle,Virginia,56,0,0,56
Alcona,Michigan,1,0,0,1
Alcorn,Mississippi,7,0,0,7
Alexander,Illinois,1,0,0,1
Alexander,North Carolina,3,0,0,3
Alexandria,Virginia,321,7,0,314
Alfalfa,Oklahoma,1,0,0,1
Allamakee,Iowa,27,3,0,24
Allegan,Michigan,29,0,0,29
Allegany,Maryland,26,1,0,25
Allegany,New York,29,1,0,28
Alleghany,North Carolina,2,0,0,2
Alleghany,Virginia,4,0,0,4
Allegheny,Pennsylvania,947,43,0,904
Allen,Indiana,271,19,0,252
Allen,Kentucky,4,0,0,4
Allen,Louisiana,79,9,0,70
Allen,Ohio,65,9,0,56
Allendale,South Carolina,6,0,0,6
Alpena,Michigan,2,0,0,2
Alpine,California,2,0,0,2
Amador,California,7,0,0,7
Amelia,Virginia,13,0,0,13
Amherst,Virginia,10,0,0,10
Amite,Mississippi,17,1,0,16
Anchorage,Alaska,150,4,0,146
Anderson,Kansas,0,0,0,0
Anderson,Kentucky,5,1,0,4
Anderson,South Carolina,127,5,0,122
Anderson,Tennessee,16,1,0,15
Anderson,Texas,6,0,0,6
Andrew,Missouri,1,0,0,1
Andrews,Texas,19,0,0,19
Androscoggin,Maine,32,1,0,31
Angelina,Texas,23,0,0,23
Anne Arundel,Maryland,966,34,0,932
Anoka,Minnesota,83,1,0,82
Anson,North Carolina,15,0,0,15
Antelope,Nebraska,1,0,0,1
Antrim,Michigan,8,0,0,8
Apache,Arizona,141,0,0,141
Appanoose,Iowa,2,1,0,1
Appling,Georgia,18,0,0,18
Appomattox,Virginia,7,0,0,7
Aransas,Texas,2,0,0,2
Arapahoe,Colorado,1342,55,0,1287
Archuleta,Colorado,6,0,0,6
Arenac,Michigan,7,0,0,7
Arkansas,Arkansas,2,0,0,2
Arlington,Virginia,485,16,0,469
Armstrong,Pennsylvania,32,2,0,30
Armstrong,Texas,1,0,0,1
Aroostook,Maine,2,0,0,2
Ascension,Louisiana,468,30,0,438
Ashe,North Carolina,4,0,0,4
Ashland,Ohio,5,0,0,5
Ashland,Wisconsin,2,0,0,2
Ashley,Arkansas,11,0,0,11
Ashtabula,Ohio,54,4,0,50
Asotin,Washington,11,0,0,11
Assumption,Louisiana,137,1,0,136
Atascosa,Texas,10,1,0,9
Atchison,Kansas,4,0,0,4
Atchison,Missouri,2,0,0,2
Athens,Ohio,3,1,0,2
